halo_subs_idx,host_id,R_vir_host_kpc,r_gal_kpc,mpeak,vpeak,r_acc_kpc,M_V,r_half_kpc,mu_V,M_star,base_survival,f_wdm,weight,cosmo
0,23,278.48857142857145,195.38295363573843,22360000000.0,70.37,86.6057142857143,-14.817095705042295,0.003316737960654305,11.351909772746094,96413596.15377043,0.8327352828067223,0.9984114331803418,0.8314124271668968,WDM_8keV
1,23,278.48857142857145,157.55784425318666,16580000000.0,60.75,76.57142857142858,-13.054234331768559,0.034233171068156605,18.183450990763415,19010508.457091473,0.9434652123237779,0.9978588302245436,0.9414450931269557,WDM_8keV
2,23,278.48857142857145,153.82765468842206,24900000000.0,66.6,92.03571428571429,-14.521289483587708,1.5037718687002155,24.930069968055466,73420238.92138806,0.7182072435940703,0.9985732473886468,0.7171825395337796,WDM_8keV
3,23,278.48857142857145,120.4857947423403,7713000000.0,48.19,60.657142857142865,-11.852950108294579,0.0015618517753182644,12.680698640473981,6287529.61024002,0.8935555639538134,0.995408662566702,0.8894529488443006,WDM_8keV
4,23,278.48857142857145,164.9589553154756,6037000000.0,45.08,49.19285714285715,-10.318009282879029,0.07096418270380202,22.50263641478157,1529338.821976661,0.7440101827301991,0.9941415144587038,0.7396514098320971,WDM_8keV
5,23,278.48857142857145,228.1312167170897,3140000000.0,35.83,43.792857142857144,-8.779495231903834,0.016676549625241444,20.89648543976716,370764.4557553895,0.8523535917554987,0.9887972645678723,0.8428048999724381,WDM_8keV
6,23,278.48857142857145,154.62855427092677,2367000000.0,30.86,40.074285714285715,-8.149614572643745,0.400173706030131,28.427077844825288,207561.03568164984,0.9687793002382742,0.985193187763882,0.9544347670414083,WDM_8keV
7,23,278.48857142857145,199.08513510658298,2329000000.0,33.05,41.10857142857143,-8.511992710958207,0.03630552113818538,22.85332033546428,289799.1346928237,0.8922068384083004,0.9849552523921866,0.8787838117104824,WDM_8keV
8,23,278.48857142857145,176.93500824556602,2381000000.0,33.61,38.37714285714286,-8.743983886509088,0.20124084226581337,26.3400464160723,358833.97380855755,0.9524611997865059,0.9852789620222432,0.9384399822921089,WDM_8keV
9,23,278.48857142857145,218.31992906871557,3648000000.0,42.95,43.02142857142857,-10.326326192427434,0.28549257041374687,25.51709753226516,1541098.7811816798,0.6879726843856198,0.9903421525189683,0.6813283491287074,WDM_8keV
10,23,278.48857142857145,96.98291349615548,13690000000.0,56.98,63.90857142857143,-13.178271526198284,3.0672132456628662,27.82089799982174,21311234.62640855,0.3383640923627207,0.9974080003830651,0.337487052764932,WDM_8keV
11,23,278.48857142857145,60.94307313604138,10330000000.0,66.36,77.89714285714285,-14.500623257123525,0.12688394092851088,19.581859709136182,72035952.4695699,0.602721118918013,0.9965678187008375,0.6006524707650523,WDM_8keV
12,23,278.48857142857145,185.78930023451485,2031000000.0,30.52,38.894285714285715,-8.044469307283816,0.19420488285426218,26.96228108905129,188402.96052054942,0.7526243681139756,0.9827859894351826,0.7396686842899226,WDM_8keV
13,23,278.48857142857145,155.12165206307355,2291000000.0,31.84,40.89857142857144,-8.735294860600504,0.009621571382715799,19.746384841539747,355973.7258744694,0.7576105657734262,0.9847095452115121,0.7460263556701869,WDM_8keV
